id,title,category,dependencies,checklist,overview
1,運営チーム編成・キックオフ,全体管理,,"イベントの成功定義（KPI）が合意されている|各チームのリーダー・副担当が決まっている|定例MTGの日程が決まっている|コミュニケーションツール（Slack等）が開設されている","このタスクはイベント運営の出発点となる重要なフェーズです。チーム全体の目標設定、役割分担、コミュニケーション基盤の構築を行い、プロジェクト全体の方向性を定めます。成功の鍵は全員が同じゴールを共有し、明確な責任体制を確立することです。"
2,企画詳細・予算策定,全体管理,1,"誰に・何を・何のために提供するかが言語化されている|チケット種別と価格が決定している|収支予算計画が策定され、赤字ラインが明確になっている","イベントの具体的な企画内容を詰め、予算計画を策定するフェーズです。ターゲット層の明確化、チケット戦略の立案、収支シミュレーションを通じて、イベントの実現可能性と持続可能性を確保します。ここで定めた予算枠が以降の全ての意思決定の基準となります。"
3,会場選定・契約,会場,2,"会場候補がリストアップされている|空き状況と見積もりが確認されている|現地視察を行い、設備要件を満たしているか確認済みである|会場利用契約が締結されている","イベントの開催場所を決定し契約を完了させるタスクです。参加規模、アクセス、設備、予算を総合的に判断し最適な会場を選定します。会場が決まることで開催日時が確定し、本格的な準備フェーズに移行できます。キャンセルポリシーの確認も重要です。"
4,スポンサーシップ設計・資料作成,スポンサー,2,"スポンサー特典（ロゴ、登壇、ブース等）が設計されている|スポンサー募集資料（Deck）が完成している|協賛メリットが明確に言語化されている","スポンサー企業に提供する価値を設計し、魅力的な提案資料を作成するタスクです。協賛プランの階層設計、特典内容の明確化、過去実績の可視化により、企業が協賛を決定しやすい環境を整えます。質の高い資料は営業活動の成否を左右します。"
5,スポンサー営業・契約,スポンサー,4,"ターゲット企業のリストアップが完了している|アポイント取得数が目標に達している|商談・提案が実施されている|契約締結・請求書発行が完了している","作成したスポンサー資料を用いて企業へ営業活動を行い、契約を獲得するタスクです。イベントの資金基盤を確保するとともに、スポンサー企業とのパートナーシップを構築します。適切なフォローアップと迅速な契約手続きが成功の鍵です。"
6,登壇者選定・依頼,登壇者,2,"登壇候補者リストが作成されている|依頼文面が作成されている|登壇の合意が取れている|登壇者のプロフィール・写真が回収されている","イベントのコンテンツの質を左右する登壇者を選定し、出演を依頼するタスクです。イベントテーマに沿った適切な人選、丁寧な依頼文の作成、スムーズなコミュニケーションにより、魅力的なプログラムを構成します。登壇者はイベントの顔となる重要な要素です。"
7,Lumaイベントページ作成,制作物,2,"イベントタイトル・概要が入力されている|OGP画像が設定されている|チケット設定・アンケート設定が完了している|公開URLが発行されている","参加者が申し込みを行うための専用イベントページをLumaで作成するタスクです。魅力的なビジュアル、分かりやすい説明文、スムーズな申込導線により、参加意欲を喚起します。このページが集客活動の中核となるため、第一印象が重要です。"
8,PR計画・告知開始,広報,3|7,"告知スケジュール（カレンダー）が作成されている|プレスリリースが入稿されている|SNS運用方針が決まっている|最初の告知投稿が行われている","イベントを広く周知し参加者を集めるための広報計画を立案・実行するタスクです。告知タイミングの最適化、メディアへのアプローチ、SNS戦略により、ターゲット層への効果的なリーチを実現します。計画的な情報発信がイベントの認知度を高めます。"
9,チケット販売管理,広報,8,"日々の申込数が記録されている|目標に対する進捗率が把握されている|必要に応じて追加の集客施策が打たれている","チケット販売状況を継続的にモニタリングし、目標達成に向けて管理するタスクです。日々の申込動向を分析し、必要に応じて追加のプロモーション施策を実施します。データに基づいた意思決定により、参加者数の最大化と会場キャパシティの最適活用を図ります。"
10,登壇者資料回収・事前調整,登壇者,6,"最終的な登壇タイトル・概要が回収されている|スライド資料が提出され、動作確認済みである|オンライン接続テスト（必要な場合）が完了している|当日の集合場所・持ち物が案内されている","登壇者から発表資料を回収し、当日に向けた最終調整を行うタスクです。資料の事前確認、技術的な動作テスト、当日の段取り共有により、スムーズな進行を保証します。事前準備の徹底が当日のトラブル防止に直結します。"
11,クリエイティブ・パンフ制作,制作物,5|7,"パンフレットの構成案が決まっている|バナー・パネルのデザインデータが完成している|印刷会社への入稿が完了している|納品物の検品が完了している","イベントの世界観を視覚的に表現する各種デザイン制作物を作成するタスクです。統一感のあるビジュアルアイデンティティにより、イベントのプロフェッショナルな印象を醸成し、参加者体験の質を向上させます。印刷物は納期管理が重要です。"
12,会場設備・備品手配,会場,3|10,"会場レイアウト図が確定している|必要な機材（マイク、プロジェクター等）が手配されている|運営用備品（文房具、養生テープ等）が購入されている","当日の運営に必要な設備・機材・備品を漏れなく手配するタスクです。会場レイアウトに基づいた機材配置計画、音響照明の準備、細かな運営備品の調達により、当日のスムーズなオペレーションを支えます。些細な備品の不足が運営を停止させることもあります。"
13,懇親会・ケータリング手配,会場,3,"飲食メニューと発注量が決まっている|ドリンク（アルコール・ソフト）の手配が完了している|会場BGMリストが作成されている","イベント後の懇親会で提供する飲食を手配し、交流の場を設計するタスクです。適切なケータリング選定と雰囲気作りにより、参加者同士のネットワーキングを促進します。懇親会こそがコミュニティ形成の核となる重要な場です。"
14,SNS拡散・カウントダウン,広報,9,"カウントダウン画像が作成されている|リマインドメールが配信予約されている|SNSでのハッシュタグ投稿が活発に行われている","開催直前の盛り上がりを最大化するためのラストスパート広報活動です。カウントダウン投稿、リマインドメール配信、登壇者・スポンサーによる拡散依頼により、参加者の期待値を高めドタキャンを防止します。最後のひと押しが当日の来場率を左右します。"
15,運営マニュアル・台本作成,全体管理,11|12,"詳細なタイムテーブル（分刻み）が完成している|スタッフ配置図と役割分担が決まっている|進行台本（MC用・音響照明用）が完成している|緊急連絡網が共有されている","当日の運営手順を詳細にドキュメント化し、全スタッフが共通認識を持てるようにするタスクです。分刻みのタイムテーブル、明確な役割分担、リスク対応手順により、チーム全体が一糸乱れぬ動きを実現します。マニュアルの完成度が当日の安定運営を保証します。"
16,前日リハーサル・設営,運営,11|12|15,"会場設営（椅子並べ、受付設置）が完了している|機材の動作確認が完了している|通しリハーサルを行い、進行上の懸念点が解消されている|スタッフ最終MTGで意識統一ができている","本番前日に会場設営と通しリハーサルを実施し、最終確認を行うタスクです。実際の動線確認、機材の動作テスト、想定されるトラブルへの対応練習により、本番での不測の事態を最小化します。リハーサルなしの本番は必ず失敗します。"
17,当日運営,運営,16,"受付がスムーズに完了している|タイムテーブル通りに進行できている（または適切に調整されている）|大きな事故・トラブルなく終了している|現状復帰・撤収が時間内に完了している","全ての準備が実を結ぶ本番当日の運営タスクです。参加者の受付から各セッション進行、懇親会運営、撤収まで、計画通りに実行しながらも柔軟な対応力を発揮します。スタッフ全員が笑顔で楽しむ余裕が、良いイベントの雰囲気を作り出します。"
18,事後アンケート・レポート,広報,17,"参加者へのお礼メール（資料リンク含む）が送信されている|アンケート回答が集計・分析されている|開催レポート記事（ブログ等）が公開されている","イベント終了後に参加者の声を収集し、成果を可視化・発信するタスクです。アンケート分析による改善点の抽出、開催レポートによる実績の共有により、次回開催への示唆を得るとともにコミュニティの継続的な関係構築を図ります。振り返りこそが成長の源です。"
19,スポンサー報告・アーカイブ,スポンサー,18,"実施報告書（数値・写真入り）が作成されている|スポンサーへのお礼訪問・報告が完了している|アーカイブ動画・資料が整理保存されている","スポンサー企業へイベントの成果を報告し、関係性を強化するタスクです。定量的な実績データ、定性的なフィードバック、アーカイブ資料の提供により、投資対効果を明示し次回の協賛継続や関係深化につなげます。丁寧な事後対応が長期的なパートナーシップを育みます。"
